transaction_id,is_suspicious,isolation_forest_score,random_forest_score,ensemble_score
TX-000176,0,0.38898806201236535,0.181266815806654,0.22202422271111585
TX-002660,0,0.359175567115651,0.1962426882808449,0.19738133256875415
TX-002195,0,0.3619905742065385,0.1793296409240961,0.08298309957793797
TX-004612,0,0.14120066857346097,0.2725509667070878,0.18013706509817087
TX-000069,0,0.31221544584053446,0.26395181360148756,0.1699552140531101
TX-002484,0,0.2453441473734822,0.13242007531073202,0.21648816165113993
TX-001040,0,0.2504277625309181,0.11198339510424744,0.1379165507778318
TX-002974,0,0.10819068780910426,0.277607622009901,0.17438129924349638
TX-003178,0,0.20920879271987342,0.1343734930233191,0.1292990749764445
TX-001674,0,0.22250173070583695,0.08870200918901791,0.19047794640416765
TX-000117,0,0.290477996605409,0.18633126365061178,0.1284753341689744
TX-002120,0,0.26060122795881324,0.18399942222454288,0.020133833191992474
TX-004195,0,0.13597288335518984,0.030725772434855123,0.12596573908503192
TX-004636,0,0.07263467298316159,0.18886237411736165,0.2486422279275298
TX-003462,0,0.3452366227990603,0.2817629154822031,0.13845817055391882
TX-000295,0,0.26594114807304536,0.10202642963165354,0.015385663520959002
TX-001063,0,0.2457286941210507,0.06474902552875886,0.10027648153760323
TX-004125,0,0.11452291750311225,0.1250859719368799,0.045525322578871465
TX-001032,0,0.3836876687651159,0.028825871101491027,0.138621469683364
TX-004494,0,0.2943763634918982,0.08887054577094093,0.09989192295550503
TX-002911,0,0.2819024382535829,0.03383698120628005,0.1437175390689387
TX-001945,0,0.18020418125682602,0.2149081462071551,0.23449640833458185
TX-002184,0,0.2252209676918408,0.08681328756776353,0.010527884780511618
TX-000195,0,0.3163904743855526,0.2002920354853871,0.17346456402125893
TX-001231,0,0.1761518234381539,0.25267991105794024,0.12899221273269582
TX-004383,0,0.38149121345079234,0.17833531573027245,0.23087539379097607
TX-004246,0,0.1838104622963866,0.24794565087227233,0.01363523014916881
TX-000011,0,0.1758110401923471,0.27719314831896,0.15921174661046703
TX-001575,0,0.21306370798808333,0.07198708064787258,0.24542718906507974
TX-004378,0,0.25304193337147973,0.09059282598648966,0.1602428631667016
TX-001560,0,0.1939099640102533,0.028755241954081318,0.08140193021005601
TX-003032,0,0.10703710316493151,0.11219484661164589,0.061978936057656045
TX-002766,0,0.19652327539634862,0.024973474277481388,0.22302634542715327
TX-001486,0,0.2686247283257509,0.15309206170576847,0.13788870711543677
TX-004423,0,0.07398456237069001,0.24302345812600834,0.08356551128198382
TX-000403,0,0.36508276273384405,0.13381687822692237,0.22527389129765432
TX-003534,0,0.2347777516499246,0.21524982440482013,0.1358941825068382
TX-003321,0,0.24288102791014976,0.08540998634017413,0.151746017411398
TX-002607,0,0.282258586214585,0.1006649657600196,0.18553454304820383
TX-001165,0,0.16522748638964796,0.2286736441060693,0.13960748636291523
TX-000572,0,0.15834649432773368,0.14850129072310148,0.10387947041437752
TX-001191,0,0.13580752390372233,0.041134635261450135,0.05245710295759833
TX-001972,0,0.34807240801580436,0.03658723050708487,0.12941525869272782
TX-001247,0,0.2621483343424752,0.1784993038774115,0.01867178195639875
TX-003620,0,0.06195929915191452,0.06663189544994902,0.24543420285507345
TX-000414,0,0.16486306394126127,0.08729739539550105,0.13263806763563182
TX-002146,0,0.08251844555953466,0.26967573781995213,0.20615219660855222
TX-003855,0,0.09902475841980295,0.21893634506168916,0.2040662307499368
TX-003549,0,0.2650263072743354,0.03568734071008518,0.22558697921927398
TX-001683,0,0.07305833037221916,0.153001278253882,0.06987331677643444
