transaction_id,transaction_date,transaction_amount,sector,report_type,province,year,month,day,day_of_week,amount_zscore,month_day,is_suspicious,ml_pattern,pattern_id,risk_score
TX-000176,2022-01-01,12609.149409597025,Securities,LCTR,Newfoundland and Labrador,2022,1,1,5,0.5373914287566322,101,0,Legitimate,LEGIT,0.0
TX-002660,2022-01-01,605.5772702740403,Securities,LCTR,Ontario,2022,1,1,5,-0.5050987385605273,101,0,Legitimate,LEGIT,0.0
TX-002195,2022-01-01,9052.204718918974,Securities,CDR,Ontario,2022,1,1,5,0.2284767304748269,101,0,Legitimate,LEGIT,0.0
TX-004612,2022-01-01,8593.699077063426,Banking,ETR,Newfoundland and Labrador,2022,1,1,5,0.1886562822160961,101,0,Legitimate,LEGIT,0.0
TX-000069,2022-01-01,2631.5315741739755,Banking,STR,British Columbia,2022,1,1,5,-0.3291479951705114,101,0,Legitimate,LEGIT,0.0
TX-002484,2022-01-01,91.41183830938316,Real Estate,LCTR,Prince Edward Island,2022,1,1,5,-0.549753146513106,101,0,Legitimate,LEGIT,0.0
TX-001040,2022-01-01,3910.93563157094,Money Services,CDR,Ontario,2022,1,1,5,-0.218033892270036,101,0,Legitimate,LEGIT,0.0
TX-002974,2022-01-01,993.660074655125,Banking,CDR,Alberta,2022,1,1,5,-0.471394395971808,101,0,Legitimate,LEGIT,0.0
TX-003178,2022-01-01,961.5920739459604,Money Services,ETR,Ontario,2022,1,1,5,-0.4741794482076592,101,0,Legitimate,LEGIT,0.0
TX-001674,2022-01-01,974.7236314368802,Real Estate,ETR,Ontario,2022,1,1,5,-0.4730389943988303,101,0,Legitimate,LEGIT,0.0
TX-000117,2022-01-01,24283.857191464267,Money Services,STR,Ontario,2022,1,1,5,1.5513202765724432,101,0,Legitimate,LEGIT,0.0
TX-002120,2022-01-01,10570.649087068414,Real Estate,ETR,British Columbia,2022,1,1,5,0.3603510846288053,101,0,Legitimate,LEGIT,0.0
TX-004195,2022-01-01,4671.524802216278,Real Estate,STR,Ontario,2022,1,1,5,-0.151977994695333,101,0,Legitimate,LEGIT,0.0
TX-004636,2022-01-01,6357.025024769751,Securities,STR,Ontario,2022,1,1,5,-0.0055951189456493,101,0,Legitimate,LEGIT,0.0
TX-003462,2022-01-02,8639.566768718694,Trust and Loan,LCTR,New Brunswick,2022,1,2,6,0.1926398145340724,102,0,Legitimate,LEGIT,0.0
TX-000295,2022-01-02,831.3240904911123,Real Estate,LCTR,British Columbia,2022,1,2,6,-0.485493004729974,102,0,Legitimate,LEGIT,0.0
TX-001063,2022-01-02,2495.9707796452444,Securities,ETR,Ontario,2022,1,2,6,-0.3409212234836854,102,0,Legitimate,LEGIT,0.0
TX-004125,2022-01-02,1015.4774557280356,Securities,CDR,Quebec,2022,1,2,6,-0.4694995929097585,102,0,Legitimate,LEGIT,0.0
TX-001032,2022-01-02,761.1872510088813,Banking,LCTR,Prince Edward Island,2022,1,2,6,-0.4915842719526203,102,0,Legitimate,LEGIT,0.0
TX-004494,2022-01-02,5012.587691041624,Money Services,STR,Nova Scotia,2022,1,2,6,-0.1223572531435383,102,0,Legitimate,LEGIT,0.0
TX-002911,2022-01-02,1790.7290757572202,Securities,LCTR,Saskatchewan,2022,1,2,6,-0.402170286125361,102,0,Legitimate,LEGIT,0.0
TX-001945,2022-01-02,19058.905270532072,Casino,LCTR,Ontario,2022,1,2,6,1.097541939669481,102,0,Legitimate,LEGIT,0.0
TX-002184,2022-01-02,6335.362923634531,Casino,STR,Manitoba,2022,1,2,6,-0.0074764362047774,102,0,Legitimate,LEGIT,0.0
TX-000195,2022-01-02,16273.119506777562,Money Services,LCTR,Quebec,2022,1,2,6,0.8556011046198574,102,0,Legitimate,LEGIT,0.0
TX-001231,2022-01-02,463.2134273800048,Casino,CDR,Newfoundland and Labrador,2022,1,2,6,-0.517462800247825,102,0,Legitimate,LEGIT,0.0
TX-004383,2022-01-02,5633.987108796383,Securities,ETR,Quebec,2022,1,2,6,-0.0683897528472073,102,0,Legitimate,LEGIT,0.0
TX-004246,2022-01-02,264.35886547808707,Securities,CDR,Manitoba,2022,1,2,6,-0.5347329864143076,102,0,Legitimate,LEGIT,0.0
TX-000011,2022-01-02,2479.005064866777,Banking,LCTR,Alberta,2022,1,2,6,-0.3423946674412653,102,0,Legitimate,LEGIT,0.0
TX-001575,2022-01-02,3402.9643598342286,Banking,LCTR,Manitoba,2022,1,2,6,-0.2621503477650068,102,0,Legitimate,LEGIT,0.0
TX-004378,2022-01-02,1206.7883918527575,Banking,STR,Ontario,2022,1,2,6,-0.4528845580271912,102,0,Legitimate,LEGIT,0.0
TX-001560,2022-01-02,9098.549978793835,Money Services,STR,Newfoundland and Labrador,2022,1,2,6,0.2325017387940609,102,0,Legitimate,LEGIT,0.0
TX-003032,2022-01-03,704.5297142830842,Banking,LCTR,Ontario,2022,1,3,0,-0.4965048842716449,103,0,Legitimate,LEGIT,0.0
TX-002766,2022-01-03,31216.570721039672,Real Estate,CDR,British Columbia,2022,1,3,0,2.153414853380362,103,0,Legitimate,LEGIT,0.0
TX-001486,2022-01-03,2873.057305878961,Real Estate,LCTR,Nova Scotia,2022,1,3,0,-0.3081718892635301,103,0,Legitimate,LEGIT,0.0
TX-004423,2022-01-03,527.8557427728758,Trust and Loan,ETR,Ontario,2022,1,3,0,-0.5118487232541175,103,0,Legitimate,LEGIT,0.0
TX-000403,2022-01-03,1517.3734828780305,Securities,LCTR,Quebec,2022,1,3,0,-0.4259107622478114,103,0,Legitimate,LEGIT,0.0
TX-003534,2022-01-03,2231.087592918104,Trust and Loan,ETR,Saskatchewan,2022,1,3,0,-0.3639258852998183,103,0,Legitimate,LEGIT,0.0
TX-003321,2022-01-03,911.1359277222532,Banking,LCTR,Ontario,2022,1,3,0,-0.4785614801318577,103,0,Legitimate,LEGIT,0.0
TX-002607,2022-01-03,3428.982020033058,Real Estate,LCTR,British Columbia,2022,1,3,0,-0.2598907574847914,103,0,Legitimate,LEGIT,0.0
TX-001165,2022-01-03,591.2774558522416,Trust and Loan,STR,British Columbia,2022,1,3,0,-0.5063406535301845,103,0,Legitimate,LEGIT,0.0
TX-000572,2022-01-03,1638.122933118373,Money Services,LCTR,Ontario,2022,1,3,0,-0.4154238744178016,103,0,Legitimate,LEGIT,0.0
TX-001191,2022-01-03,8636.577742273832,Money Services,LCTR,Saskatchewan,2022,1,3,0,0.192380222585738,103,0,Legitimate,LEGIT,0.0
TX-001972,2022-01-03,7623.349660704508,Banking,STR,Prince Edward Island,2022,1,3,0,0.1043830580729062,103,0,Legitimate,LEGIT,0.0
TX-001247,2022-01-03,2935.4638681425536,Casino,LCTR,Prince Edward Island,2022,1,3,0,-0.3027519836903604,103,0,Legitimate,LEGIT,0.0
TX-003620,2022-01-03,9111.148830723252,Money Services,CDR,British Columbia,2022,1,3,0,0.2335959280156906,103,0,Legitimate,LEGIT,0.0
TX-000414,2022-01-03,271.8378829330392,Securities,LCTR,Ontario,2022,1,3,0,-0.5340834462551378,103,0,Legitimate,LEGIT,0.0
TX-002146,2022-01-04,14424.686698455776,Real Estate,LCTR,Ontario,2022,1,4,1,0.6950678062603417,104,0,Legitimate,LEGIT,0.0
TX-003855,2022-01-04,4536.323296870763,Securities,STR,Ontario,2022,1,4,1,-0.1637200193437662,104,0,Legitimate,LEGIT,0.0
TX-003549,2022-01-04,1869.5154921871856,Casino,LCTR,Manitoba,2022,1,4,1,-0.395327817609066,104,0,Legitimate,LEGIT,0.0
TX-001683,2022-01-04,2175.2812206745675,Securities,ETR,Alberta,2022,1,4,1,-0.3687725754069191,104,0,Legitimate,LEGIT,0.0
TX-002838,2022-01-04,811.3762201232255,Securities,STR,British Columbia,2022,1,4,1,-0.4872254439135829,104,0,Legitimate,LEGIT,0.0
TX-000972,2022-01-04,5207.742182724566,Money Services,ETR,Quebec,2022,1,4,1,-0.1054084118881285,104,0,Legitimate,LEGIT,0.0
TX-000620,2022-01-04,679.6919918874722,Real Estate,LCTR,Manitoba,2022,1,4,1,-0.4986619989268029,104,0,Legitimate,LEGIT,0.0
TX-003297,2022-01-04,6248.294466282216,Casino,LCTR,Quebec,2022,1,4,1,-0.0150381861255291,104,0,Legitimate,LEGIT,0.0
TX-002560,2022-01-04,139.72927719472003,Money Services,ETR,Ontario,2022,1,4,1,-0.5455568577447899,104,0,Legitimate,LEGIT,0.0
TX-004404,2022-01-04,271.8352072344121,Banking,LCTR,British Columbia,2022,1,4,1,-0.5340836786350891,104,0,Legitimate,LEGIT,0.0
TX-004059,2022-01-04,7186.353354615291,Securities,STR,Quebec,2022,1,4,1,0.0664306596564776,104,0,Legitimate,LEGIT,0.0
TX-002996,2022-01-04,329.59160915540406,Banking,CDR,Alberta,2022,1,4,1,-0.5290676317114399,104,0,Legitimate,LEGIT,0.0
TX-004232,2022-01-05,10946.796623221027,Trust and Loan,ETR,Ontario,2022,1,5,2,0.3930188691306438,105,0,Legitimate,LEGIT,0.0
TX-002362,2022-01-05,2047.405228671617,Banking,STR,Manitoba,2022,1,5,2,-0.3798783914716462,105,0,Legitimate,LEGIT,0.0
TX-003254,2022-01-05,10424.354197971315,Securities,LCTR,Ontario,2022,1,5,2,0.3476456181524668,105,0,Legitimate,LEGIT,0.0
TX-000531,2022-01-05,8820.486798891616,Banking,ETR,Quebec,2022,1,5,2,0.2083524166109266,105,0,Legitimate,LEGIT,0.0
TX-000368,2022-01-05,8349.884684981089,Securities,STR,Saskatchewan,2022,1,5,2,0.167481409982556,105,0,Legitimate,LEGIT,0.0
TX-000346,2022-01-05,294.2342228690076,Money Services,STR,Ontario,2022,1,5,2,-0.5321383615839962,105,0,Legitimate,LEGIT,0.0
TX-004817,2022-01-05,1718.4396420374949,Money Services,STR,Quebec,2022,1,5,2,-0.4084485025578562,105,0,Legitimate,LEGIT,0.0
TX-002329,2022-01-05,724.2195698155807,Money Services,CDR,British Columbia,2022,1,5,2,-0.4947948532450241,105,0,Legitimate,LEGIT,0.0
TX-003746,2022-01-05,21374.366024182364,Securities,STR,Quebec,2022,1,5,2,1.298635834092925,105,0,Legitimate,LEGIT,0.0
TX-001941,2022-01-05,9131.006436995409,Banking,LCTR,Alberta,2022,1,5,2,0.2353205279135296,105,0,Legitimate,LEGIT,0.0
TX-001101,2022-01-05,889.9497420991121,Money Services,STR,New Brunswick,2022,1,5,2,-0.4804014649246117,105,0,Legitimate,LEGIT,0.0
TX-004462,2022-01-05,3095.702323749545,Casino,ETR,Alberta,2022,1,5,2,-0.2888355417797777,105,0,Legitimate,LEGIT,0.0
TX-000158,2022-01-05,1135.0604773072814,Money Services,CDR,New Brunswick,2022,1,5,2,-0.4591140074584038,105,0,Legitimate,LEGIT,0.0
TX-004551,2022-01-06,766.825757648446,Banking,STR,Manitoba,2022,1,6,3,-0.4910945770799713,106,0,Legitimate,LEGIT,0.0
TX-003288,2022-01-06,3017.946117999988,Securities,LCTR,Ontario,2022,1,6,3,-0.29558853822125,106,0,Legitimate,LEGIT,0.0
TX-002075,2022-01-06,1017.1940568441796,Banking,STR,Ontario,2022,1,6,3,-0.4693505089734089,106,0,Legitimate,LEGIT,0.0
TX-004778,2022-01-06,801.9119207216829,Money Services,CDR,Ontario,2022,1,6,3,-0.4880474024899247,106,0,Legitimate,LEGIT,0.0
TX-000945,2022-01-06,6849.696894039088,Banking,LCTR,British Columbia,2022,1,6,3,0.0371926090294678,106,0,Legitimate,LEGIT,0.0
TX-002734,2022-01-06,3331.3986419011267,Banking,LCTR,British Columbia,2022,1,6,3,-0.2683657106916681,106,0,Legitimate,LEGIT,0.0
TX-001542,2022-01-06,658.911461162186,Money Services,LCTR,Ontario,2022,1,6,3,-0.500466753270035,106,0,Legitimate,LEGIT,0.0
TX-002371,2022-01-06,1902.6812671915727,Trust and Loan,LCTR,Nova Scotia,2022,1,6,3,-0.3924474255114286,106,0,Legitimate,LEGIT,0.0
TX-002728,2022-01-06,8724.885319789202,Trust and Loan,LCTR,Saskatchewan,2022,1,6,3,0.2000495880205313,106,0,Legitimate,LEGIT,0.0
TX-004979,2022-01-06,482.7854293123024,Casino,CDR,Ontario,2022,1,6,3,-0.5157630046093007,106,0,Legitimate,LEGIT,0.0
TX-004976,2022-01-06,10918.774959578044,Banking,LCTR,Newfoundland and Labrador,2022,1,6,3,0.3905852345025,106,0,Legitimate,LEGIT,0.0
TX-003057,2022-01-06,8508.242802048197,Securities,STR,Ontario,2022,1,6,3,0.1812345476353473,106,0,Legitimate,LEGIT,0.0
TX-001663,2022-01-07,3082.934607494716,Banking,CDR,Alberta,2022,1,7,4,-0.289944396585686,107,0,Legitimate,LEGIT,0.0
TX-004318,2022-01-07,9973.949378310954,Securities,CDR,Prince Edward Island,2022,1,7,4,0.3085287127547817,107,0,Legitimate,LEGIT,0.0
TX-003987,2022-01-07,1276.08912915129,Money Services,LCTR,Quebec,2022,1,7,4,-0.4468659048810267,107,0,Legitimate,LEGIT,0.0
TX-000094,2022-01-07,2487.138527591828,Banking,LCTR,Quebec,2022,1,7,4,-0.3416882898047841,107,0,Legitimate,LEGIT,0.0
TX-001636,2022-01-07,6788.811400917203,Casino,STR,New Brunswick,2022,1,7,4,0.0319048057676464,107,0,Legitimate,LEGIT,0.0
TX-003267,2022-01-07,5562.328865871451,Securities,STR,Quebec,2022,1,7,4,-0.074613151414684,107,0,Legitimate,LEGIT,0.0
TX-004905,2022-01-07,8566.218215555456,Money Services,STR,Manitoba,2022,1,7,4,0.1862696153490215,107,0,Legitimate,LEGIT,0.0
TX-004306,2022-01-07,2382.665298764535,Casino,STR,British Columbia,2022,1,7,4,-0.3507616150229947,107,0,Legitimate,LEGIT,0.0
TX-000433,2022-01-07,368.1731973469771,Banking,ETR,Ontario,2022,1,7,4,-0.5257168852950933,107,0,Legitimate,LEGIT,0.0
TX-002914,2022-01-07,1217.6435876625003,Money Services,LCTR,Ontario,2022,1,7,4,-0.4519418024237249,107,0,Legitimate,LEGIT,0.0
TX-004593,2022-01-07,1534.6037444818303,Money Services,STR,Nova Scotia,2022,1,7,4,-0.42441434284084,107,0,Legitimate,LEGIT,0.0
TX-001884,2022-01-07,4108.659777626509,Banking,STR,Saskatchewan,2022,1,7,4,-0.2008618808294701,107,0,Legitimate,LEGIT,0.0
TX-002005,2022-01-07,16495.19430478618,Banking,LCTR,Ontario,2022,1,7,4,0.8748879294621483,107,0,Legitimate,LEGIT,0.0
TX-003123,2022-01-07,4647.892440976784,Casino,LCTR,British Columbia,2022,1,7,4,-0.1540304257497481,107,0,Legitimate,LEGIT,0.0
TX-002548,2022-01-07,2610.3386388980152,Securities,ETR,Ontario,2022,1,7,4,-0.3309885661593257,107,0,Legitimate,LEGIT,0.0
